job_uuid,title,company_name,salary_min,salary_max,hot_jobs_cluster,cluster_label,seniority,peer_median,above_market_pct
19a19654809e382d008ac5e40636b7cd,SAP PS/PM Consultant,KRIS INFOTECH PTE. LTD.,17000,20500,12,Warehouse Assistant,,3500.0,385.7
855d7203e6dad5a58f1bedf51acc397e,STE12347296 - Finance Director (Group FP&A & Strategic Planning),ROBERT HALF INTERNATIONAL PTE. LTD.,23000,29000,2,Quantity Surveyor,,5000.0,360.0
9e5766a59367b10251401268c4c9ad12,"Staff Backend Engineer, Billing",AIRWALLEX (SINGAPORE) PTE. LTD.,16000,30000,12,Warehouse Assistant,,3500.0,357.1
f9ec191705f75c59a8f1ab009c6b6e25,Software Developer (Rust),IKAS INTERNATIONAL (ASIA) PTE. LTD.,16000,18000,12,Warehouse Assistant,,3500.0,357.1
c83c3e30fdc5fcc84371b9f4490579ff,Senior Platform Support Engineer,SCHONFELD STRATEGIC ADVISORS (SINGAPORE) PTE. LTD.,16000,19000,12,Warehouse Assistant,,3500.0,357.1
f931f498664741a378133fd55f75a39a,Senior FIX Connectivity Engineer,HUDSON RPO (SINGAPORE) PTE. LTD.,16000,18920,12,Warehouse Assistant,,3500.0,357.1
7ebc9c0968cdb88e6197a47e97e76def,"Sr. Technical Account Manager, Enterprise Support",AMAZON WEB SERVICES SINGAPORE PRIVATE LIMITED,16000,22000,12,Warehouse Assistant,,3500.0,357.1
322e725650732059898029061b55211e,"Staff Software Engineer, Infrastructure",AIRWALLEX (SINGAPORE) PTE. LTD.,16000,28000,12,Warehouse Assistant,,3500.0,357.1
7710cab23995afd44751f5c4cc9a9a7e,Associate,ALLEN OVERY SHEARMAN STERLING LLP,16000,22500,15,Beautician,,3500.0,357.1
57870fbf4131e07a909ced106cb5cb83,Vice President - ASEAN & India Rates Strategist - Global Markets,NOMURA SINGAPORE LIMITED,22000,26000,2,Quantity Surveyor,Lead,4850.0,353.6
1f86d774d973d1355ba661d74253f0e0,"Global Investment Banking -TMT, Vice President",J.P. MORGAN SECURITIES ASIA PRIVATE LIMITED,22000,32000,2,Quantity Surveyor,Lead,4850.0,353.6
575074990b5431f95c13d2b6d3de4274,Open-Rank in Operations Management,NANYANG TECHNOLOGICAL UNIVERSITY,20000,30000,9,Sales Executive,Entry,4500.0,344.4
33afbf6c9d8622dbb3cd4d214f482894,"Senior Manager, Trading (Base Metals)",DIRECT SEARCH ASIA PTE. LTD.,22000,27000,2,Quantity Surveyor,,5000.0,340.0
785944b5be91b9520e4f9771a36d7bdd,Senior Manager (Base Metals),DIRECT SEARCH ASIA PTE. LTD.,22000,27000,2,Quantity Surveyor,,5000.0,340.0
c5c7eec7e9577700a37e0c16b006472f,GH13453131 Finance Director (E-Commerce),ROBERT HALF INTERNATIONAL PTE. LTD.,22000,26000,2,Quantity Surveyor,,5000.0,340.0
21d1a9101cb522bff00eb10209146649,Senior Manager,DIRECT SEARCH ASIA PTE. LTD.,22000,25000,2,Quantity Surveyor,,5000.0,340.0
9675703bb315ccb9cbcd5e27fd2b5401,Chief Risk Officer – Commodities Trading House,BEATHCHAPMAN (PTE. LTD.),22000,25000,2,Quantity Surveyor,,5000.0,340.0
5202fb650322f8600cdce903b9f43a8e,"Staff Software Engineer, Backend - Financial Platform",AIRWALLEX (SINGAPORE) PTE. LTD.,15300,26666,12,Warehouse Assistant,,3500.0,337.1
344c8a8f7f48b7418630fd9bc9abf0bf,Lead Trading Specialist,ENVIRODYNAMICS SOLUTIONS PTE. LTD.,20000,25000,19,SUPERVISOR,,4600.0,334.8
6e4c08214fb777dac3e7d0df82417c89,Success factor Data Architect,RANDSTAD PTE. LIMITED,20000,22000,19,SUPERVISOR,,4600.0,334.8
e5fcb1c22c40cd1b0b2bb95e3190b9b1,"Staff Android Engineer, Identity",AIRWALLEX (SINGAPORE) PTE. LTD.,15000,225000,12,Warehouse Assistant,,3500.0,328.6
6f55702b1814ee228c9b1d9bf316109a,Portfolio Manager,DYMON ASIA CAPITAL (SINGAPORE) PTE. LTD.,15000,23000,15,Beautician,,3500.0,328.6
b639f645fda01c7ae67eaff9813acfa9,Senior System Engineer (AI/GPU Infrastructure),MICHAEL PAGE INTERNATIONAL PTE LTD,15000,16000,12,Warehouse Assistant,,3500.0,328.6
0462ddd6d0e48a719b5c6ccc32b6e165,Senior Staff RTL Design Engineer,CANAAN CREATIVE GLOBAL PTE. LTD.,15000,25000,12,Warehouse Assistant,,3500.0,328.6
bebdcb9fab911e8acb4eb488f396a6f3,Junior Associate (International Arbitration),NORTON ROSE FULBRIGHT (ASIA) LLP,14800,19700,15,Beautician,,3500.0,322.9
0a7796d5b6595cbb1e5ba07c044fc8be,Junior Quant Researcher,SQUAREPOINT SERVICES SINGAPORE PTE. LTD.,16000,22500,19,SUPERVISOR,Junior,3800.0,321.1
cee86ca191dd7a02229a71f8eddddfa9,"Asset & Wealth Management, Private Wealth Advisor, Associate, Singapore",GOLDMAN SACHS (SINGAPORE) PTE.,14700,29300,15,Beautician,,3500.0,320.0
beb9d574278efa7351cd9737405d0863,AI/ML Engineer,CARLYLE SINGAPORE INVESTMENT ADVISORS PTE LTD,21000,25000,19,SUPERVISOR,Senior,5000.0,320.0
fe49e71034ec31cc9da23fa16505b7eb,Analytics Director,WISE ASIA-PACIFIC PTE. LTD.,19200,26500,19,SUPERVISOR,,4600.0,317.4
108cddad340ce98b9750cb379e6e1337,"Mid-level/Senior Associate, Core Finance",HERBERT SMITH FREEHILLS KRAMER LLP,20300,25000,2,Quantity Surveyor,,5000.0,306.0
78f01969b5005904b1e676f83b2e5828,"Mid-level / Senior Associate, Core Finance",PROLEGIS LLC,20300,25000,2,Quantity Surveyor,,5000.0,306.0
2d12061f78809c0a63dc55194200d94d,Senior Solution Architect (ASEAN),ELASTICSEARCH PTE. LTD.,14000,22000,12,Warehouse Assistant,,3500.0,300.0
2bc812e5a433bbb5700538aaf65419f8,Senior Quantitative Analyst (SVP; Risk; FI),LICO RESOURCES PTE. LTD.,20000,25000,19,SUPERVISOR,Senior,5000.0,300.0
f012a56a830b1edf1fa168b61bff1a43,Solution Architect (SAP Contract-to-Cash / Supply Chain) - Mining (18-month renewable contract),EVOLUTION RECRUITMENT SOLUTIONS PTE. LTD.,14000,22000,12,Warehouse Assistant,,3500.0,300.0
92dbe543510036a94b23b88d26818ddf,Senior Mobile Developer (Android / iOS),RECRUIT EXPRESS PTE LTD,14000,20000,12,Warehouse Assistant,,3500.0,300.0
3871c94ab09d52cee8d77df79fb33ea1,Mulesoft Technical Architect,SALESFORCE.COM SINGAPORE PTE. LTD.,14000,16700,12,Warehouse Assistant,,3500.0,300.0
8676bb5ebf021bfcad9bb6f819debecb,Staff Network Engineer,AIRWALLEX (SINGAPORE) PTE. LTD.,14000,22500,12,Warehouse Assistant,,3500.0,300.0
76fa834c19fdc9f47dfd145ffe599d09,"Senior Manager, Market Analysis - Cross Commodity",,24000,32000,19,SUPERVISOR,Manager,6000.0,300.0
308d6030096cbb1a9606dd0dfb58c0c3,Chief Financial Officer (Listed Co.),EV SEARCH PTE. LTD.,20000,25000,2,Quantity Surveyor,,5000.0,300.0
820e73fa7186d6423232f8a71811b564,Cybersecurity Architect - Leading Financial Firm - J12931,PINPOINT ASIA INFOTECH PTE. LTD.,14000,16000,12,Warehouse Assistant,,3500.0,300.0
7b5893968c79ddba0bfe16e6eaf40710,"Senior Manager, Commodities Trading (Lithium)",DIRECT SEARCH ASIA PTE. LTD.,20000,25000,2,Quantity Surveyor,,5000.0,300.0
5b8e5ff0dbae68cc3e9c249df76d42c0,"General Manager, Global Commodity Risk Strategy and Intelligence",BEAM SUNTORY ASIA PTE. LTD.,20000,28000,2,Quantity Surveyor,,5000.0,300.0
35a65b7bab74a509e795a50e3c0a33f8,"Senior Manager, Trading (Metals)",DIRECT SEARCH ASIA PTE. LTD.,20000,25000,2,Quantity Surveyor,,5000.0,300.0
1b0dc2596ea597442c90fb9a812d5788,Maintenance Engineer,BRUNEL INTERNATIONAL SOUTH EAST ASIA PTE. LTD.,14000,16000,12,Warehouse Assistant,,3500.0,300.0
b8ac2489213c4b12fb6045088435937b,Solution Architect,TEAMLEASE DIGITAL SINGAPORE PTE. LTD.,14000,17000,12,Warehouse Assistant,,3500.0,300.0
93b9efdc4eef25e737dd64849948154c,Quantitative Researcher,DRW SINGAPORE PTE. LTD.,18000,21000,19,SUPERVISOR,,4600.0,291.3
41ab1b898da75c55f933e0dcc43e7f95,Quantitative Trading and Research – Prime Financial Services – Associate,J.P. MORGAN SECURITIES SINGAPORE PRIVATE LIMITED,18000,26000,19,SUPERVISOR,,4600.0,291.3
df7167b2b8cc21ced9c70e455ee9fe22,Credit - Systematic Market Making - Associate,J.P. MORGAN SECURITIES ASIA PRIVATE LIMITED,18000,26000,19,SUPERVISOR,,4600.0,291.3
4622baa03aa49f0b7f0e9969a5396949,"Head of AI Transformation - APJC, Generative AI Innovation Center",AMAZON WEB SERVICES SINGAPORE PRIVATE LIMITED,18000,36000,19,SUPERVISOR,,4600.0,291.3
a465f2f206669c4037fd451e97565e28,26969972 IT Project Senior Tech Lead (Senior Vice President),CITIBANK N.A.,19400,24300,10,HR Executive,Senior,5000.0,288.0
a7cf7cd412b84250e93c78c86ec4baa1,Financial Consultant,PLACEMENT PROFESSIONALS,13500,17000,15,Beautician,,3500.0,285.7
8fea552fb39d5ea1637c7da69577386d,"Automated Trading Strategies, Associate",J.P. MORGAN SECURITIES ASIA PRIVATE LIMITED,18000,26000,19,SUPERVISOR,Mid,4800.0,275.0
969d869c51fdf7c5f15ef49233930418,Corporate Banking Relationship Manager (Greater China/ North Asia),RANDSTAD PTE. LIMITED,13000,15000,15,Beautician,,3500.0,271.4
e7905337e4c0075a8940d573e8ed2905,Presales Solution Architect (Public Sector),NUWAY CFR PTE. LTD.,13000,15000,12,Warehouse Assistant,,3500.0,271.4
2edd26e4a16f58ffe021a47b5035b1f0,"Senior software Engineer, Infrastructure",AIRWALLEX (SINGAPORE) PTE. LTD.,13000,25600,12,Warehouse Assistant,,3500.0,271.4
efd4778c91d032c732ecc8abbe4cca07,"Senior Backend Engineer, Billing",AIRWALLEX (SINGAPORE) PTE. LTD.,13000,25600,12,Warehouse Assistant,,3500.0,271.4
bc1cef37a0ad4daf805b023c5c8a31c4,Technical Pre-Sales Architect - Telco OSS - Asia-Pacific Region,HEWLETT-PACKARD ASIA PACIFIC PTE. LTD.,13000,17000,12,Warehouse Assistant,,3500.0,271.4
429cb339762e9d473f37d9b895d60b4e,Senior SAP FICO Consultant (Presales),ERP21 PTE LTD,13000,15000,12,Warehouse Assistant,,3500.0,271.4
5aa0430c0de0c03017fb6f0855437c70,Presales Solution Architect (ATFM),NUWAY CFR PTE. LTD.,13000,16000,12,Warehouse Assistant,,3500.0,271.4
077dcdec81fca9d049fd827ca0ecb1dc,"Senior Software Enginee, DevOps",AIRWALLEX (SINGAPORE) PTE. LTD.,13000,25800,12,Warehouse Assistant,,3500.0,271.4
6ef62385570fb54afdea3b6c6d2a18c0,"Senior Specialist, Product Manager, Provider Management",AMPLIFY HEALTH ASIA PTE. LIMITED,13000,17500,12,Warehouse Assistant,,3500.0,271.4
92cace7304e1bcb34960485d60e6dcee,Hedge Fund Portfolio Manager - Macro Specialist,MODULAR ASSET MANAGEMENT (SINGAPORE) PTE. LTD.,18000,25000,2,Quantity Surveyor,Lead,4850.0,271.1
081fd5656715e830377dea9c5c7d9140,Senior Data Engineer,SPH MEDIA LIMITED,17000,22000,19,SUPERVISOR,,4600.0,269.6
607ff7989c1117f072e3a17519446cc6,GLOBAL INDUSTRY ANALYST – NON-ASIA EMERGING MARKETS FINANCIALS,WELLINGTON MANAGEMENT SINGAPORE PTE. LTD.,18300,22450,2,Quantity Surveyor,,5000.0,266.0
00eb3df914b4ba50b416ed3f5ee295ae,Projects Associate,NORTON ROSE FULBRIGHT (ASIA) LLP,18300,24700,2,Quantity Surveyor,,5000.0,266.0
8b8d622e5f4da2daf8973892e1a7dfbe,"Senior Product Manager, Creator Tools",ELECTRONIC ARTS ASIA PACIFIC PTE LTD,18000,23000,10,HR Executive,Senior,5000.0,260.0
d797508ff4826ded663c3c3dd15d2b91,Solutions Manager,ANTER RECRUITMENT PTE. LTD.,18000,23000,10,HR Executive,Senior,5000.0,260.0
8d96ac512facffdc99f1341d23557ef8,Derivatives Trader,WOODSIDE ENERGY TRADING SINGAPORE PTE. LTD.,18000,28000,2,Quantity Surveyor,,5000.0,260.0
56f5a2f0e899fb5f167216f84721f737,Head of Corporate Finance,CYRA RENEWABLES PTE. LTD.,18000,25000,2,Quantity Surveyor,,5000.0,260.0
9d6c60dbc834c32b58fc6a59a7839809,Legal Consultant,AXIOM GLOBAL SOLUTIONS PTE. LTD.,18000,25000,2,Quantity Surveyor,,5000.0,260.0
3963d839a47c71b54ee8e3604983cb90,"Commercial & Investment Bank – Currencies Emerging Markets Trading, Vice President","JPMORGAN CHASE BANK, N.A.",18000,28000,2,Quantity Surveyor,,5000.0,260.0
7b0be03a36bfc5b43cdf0df91cc88983,Relationship Manager-Corporate Banking/Investment Banking Division,KEB HANA BANK,18000,23000,2,Quantity Surveyor,,5000.0,260.0
8ff792a6efdf6e4fe0788b677391efd9,"Currencies Emerging Markets Trading, e-FX Trading - Associate","JPMORGAN CHASE BANK, N.A.",18000,26000,15,Beautician,Mid,5000.0,260.0
fbbf3c1c68a92b743a6e664058b52e5b,Senior Cyber Assurance Analyst,MICHAEL PAGE INTERNATIONAL PTE LTD,12500,16667,12,Warehouse Assistant,,3500.0,257.1
1d028473984c0e5f9276e65a20a225fa,Consultant - Cloud Architect,OLLION PTE. LTD.,12500,14500,12,Warehouse Assistant,,3500.0,257.1
6b7a92db546ed19a217b0fc3c36bef87,Game Developer/Software Engineer (12-months contract),OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,12500,14000,12,Warehouse Assistant,,3500.0,257.1
64a3c6efaceb54f98626341dc21540c6,"Senior Implementation Specialist, Asia (Professional Services)",COMMVAULT SYSTEMS (SINGAPORE) PRIVATE LIMITED,12500,16500,12,Warehouse Assistant,,3500.0,257.1
af2dfa2920002f21a4508f3be4efb699,Senior Software Engineer - Java,,12400,15400,12,Warehouse Assistant,,3500.0,254.3
e9d176449edd756acfc4244a2f696b48,Senior Software Engineer - Japanese Speaking,,12400,15417,12,Warehouse Assistant,,3500.0,254.3
3278bbc425ead076c0596673f2f7c0f4,Java Developer,PEOPLE PROFILERS (SERVICES) PTE. LTD.,17000,22000,12,Warehouse Assistant,Mid,4800.0,254.2
0db2181d2a001a1eeb0b114058dd1b7e,Senior Lead Algorithm Engineer,GO-JEK SINGAPORE PTE. LTD.,16208,30101,19,SUPERVISOR,,4600.0,252.3
32b5b2610eca09cee423f79eafcd54ad,"Network Engineer, Foundation and Support (Edge/Backbone Infrastructure Design)",FACEBOOK SINGAPORE PTE. LTD.,12250,18670,12,Warehouse Assistant,,3500.0,250.0
ed8e1ad7a59de2bfd2f26ccbb1354b0b,AI Engineer (ML Systems & Infrastructure),SWAPETECH PTE. LTD.,16000,25000,19,SUPERVISOR,,4600.0,247.8
ae9676783b99b052efd5ff07f9766b9b,Fuel Oil Broker,TRADITION SINGAPORE PTE. LTD.,12000,15000,15,Beautician,,3500.0,242.9
85377e1e00bd47ed634d4c9d3852e23a,Senior Java Developer,NICOLL CURTIN TECHNOLOGY PTE. LTD.,12000,15000,12,Warehouse Assistant,,3500.0,242.9
5da03d8c96b3903e8c38c7b20285da55,Platform Engineer (VMware SME),IKAS INTERNATIONAL (ASIA) PTE. LTD.,12000,16000,12,Warehouse Assistant,,3500.0,242.9
21bccc071e151927f0b6d0f01e1d8b9b,Senior Software Engineer,8X8 INTERNATIONAL PTE. LTD.,12000,16000,12,Warehouse Assistant,,3500.0,242.9
d490a0ac124947ce095a9f5cdd75eec5,"Senior Software Engineer, Frontend",AIRWALLEX (SINGAPORE) PTE. LTD.,12000,19000,12,Warehouse Assistant,,3500.0,242.9
0de680e447ed54c8e9c6cbe670b80b5a,Partner Engineer -Gaming,MORGAN MCKINLEY PTE. LTD.,12000,14000,12,Warehouse Assistant,,3500.0,242.9
f8d879d89c4fa38a4de2b241e59792d7,"VP, Senior Network Engineer (WD82596)",DBS BANK LTD.,12000,17000,12,Warehouse Assistant,,3500.0,242.9
0ababebd3c6df8dd16c67301c4ca75c8,Java Developer (Banking Sector),NTT SINGAPORE PTE. LTD.,12000,15000,12,Warehouse Assistant,,3500.0,242.9
b4c119163f9a841943d372bf56aa24be,Senior Triple A (Temenos) Developer,TRINITY CONSULTING SERVICES PTE. LTD.,12000,16000,12,Warehouse Assistant,,3500.0,242.9
cc80d920f25e6a144335f480b3efc177,Embedded Computer Vision Engineer (Edge Inference),RAPSODO PTE. LTD.,12000,21000,12,Warehouse Assistant,,3500.0,242.9
8e36c1051a642a6ac55e999b0935eb7c,Cybersecurity Governance Specialist (GRC) (JD#11143),SCIENTE INTERNATIONAL PTE. LTD.,12000,14000,12,Warehouse Assistant,,3500.0,242.9
cd0c5adf82fb4bec7544cc4dbee334aa,Salesforce Architect,JONDAVIDSON PTE. LTD.,12000,15000,12,Warehouse Assistant,,3500.0,242.9
29b052655bb19590d6494d358b472c91,T24 Consultant,LYNEER CORP (SINGAPORE) PTE. LTD.,12000,15000,12,Warehouse Assistant,,3500.0,242.9
e11347456db8af11c375116b0704639e,ServiceNow Solution Architect,CADENZA SOLUTIONS PTE. LTD.,12000,15000,12,Warehouse Assistant,,3500.0,242.9
5cfd56f3b63442d03bafc3fab4f12edf,"Silverdale Fixed Income Funds, Singapore: Business Development Role",,12000,18000,15,Beautician,,3500.0,242.9
ab99c1adfa17fe093f33161003a0e08c,Technical Subject Matter Expert (Salesforce CRM – Financial Services Cloud),Capgemini Singapore  PTE. LTD.,12000,16000,12,Warehouse Assistant,,3500.0,242.9
bbaef17a042914af009f193543ef6556,IT Cyber Governance Specialist (MNC / High Bonuses),CAREERALLY PTE. LTD.,12000,18000,12,Warehouse Assistant,,3500.0,242.9
b503459ad6f374b67fc4a0c4996a654d,Messaging / Collaboration Architect (JD#11134),SCIENTE INTERNATIONAL PTE. LTD.,12000,14000,12,Warehouse Assistant,,3500.0,242.9
79cbc0e17be81a96f90459f37e6f0a8e,Triple'A Core Developer,MARVES CONSULTING PTE. LTD.,12000,15000,12,Warehouse Assistant,,3500.0,242.9
7a84bd1866467404659276d07120e147,Staff Forward Deployed Engineer,DATABRICKS ASIAPAC UNIFIED ANALYTICS PTE. LTD.,17050,25567,19,SUPERVISOR,Senior,5000.0,241.0
275015c23b45bb59064a2692b2ed1bd8,Senior Finance Manager – Family Office,BEATHCHAPMAN (PTE. LTD.),17000,20000,2,Quantity Surveyor,,5000.0,240.0
fd4e6aa05efca3b5785ed367ab9f2f89,Senior Data Scientist,SPH MEDIA LIMITED,17000,22000,19,SUPERVISOR,Senior,5000.0,240.0
e81cb994fe642e548d68b2fac937ef90,Wealth Management Relationship Manager,CMBI (SINGAPORE) PTE. LIMITED,17000,22000,2,Quantity Surveyor,,5000.0,240.0
3cd2042d7402424fc90d2f0470a6058f,"26964411 Senior Vice President, Card Product Management",CITIBANK SINGAPORE LIMITED,16900,25400,10,HR Executive,Senior,5000.0,238.0
baa112730084a3633d5803b489e6d5bc,"Data Scientist, Product Analytics",FACEBOOK SINGAPORE PTE. LTD.,16830,25250,19,SUPERVISOR,Senior,5000.0,236.6
d238da783bec60d61371bf7d953099f1,Principle AI Engineer,BASIL TECHNOLOGIES PTE. LTD.,20000,20700,19,SUPERVISOR,Lead,6000.0,233.3
63a717d8105ea8876c2eee86fbfdf743,Head of Private Wealth Advisory (HNW Platform Leadership),REVUP CONSULTING PTE. LTD.,16600,21600,2,Quantity Surveyor,,5000.0,232.0
9146b2478d36f67f67b5b720e4a2b693,Senior Manager|FX Sales,HUDSON RPO (SINGAPORE) PTE. LTD.,16500,22250,2,Quantity Surveyor,,5000.0,230.0
78740d027b6d4161afd37da2d9604d29,Private Wealth Director,NODEFLAIR PTE. LTD.,16500,16500,2,Quantity Surveyor,,5000.0,230.0
f6349f43af9fc4010071a8ef1ac7769b,Head of Compliance,ZURICH INSURANCE COMPANY LTD (Singapore Branch),16000,21000,2,Quantity Surveyor,Lead,4850.0,229.9
c0ca37af6e3b5c5d4b856ddb7d1b26fe,Finance Business Partner,FASTSTREAM RECRUITMENT PTE. LTD.,16000,18000,2,Quantity Surveyor,Lead,4850.0,229.9
9b3d286843fe03697309a113667bb4ba,Senior Customer Success Engineer,GITLAB SINGAPORE PTE. LTD.,11500,17250,12,Warehouse Assistant,,3500.0,228.6
ede232c442b86e168d9bda9e6e90f2df,R287207 Software Senior Principal Engineer,DELL GLOBAL B.V. (Singapore Branch),16425,32850,10,HR Executive,Senior,5000.0,228.5
2c06a45d74a6777df114e705914bb90e,"Senior Corporate Counsel, AWS Legal",AMAZON ASIA-PACIFIC RESOURCES PRIVATE LIMITED,22000,36000,2,Quantity Surveyor,Senior,6700.0,228.4
a983b962b2db8e5b52f46b79d132ecb2,Fraud Operations Manager,STRIPE PAYMENTS SINGAPORE PTE. LTD.,18000,22000,2,Quantity Surveyor,Manager,5500.0,227.3
b9f701046f6d357d3de1facbbb18d4e0,Principal AI Engineer,ACHIEVE CAREER CONSULTANT PTE LTD,15000,20000,19,SUPERVISOR,,4600.0,226.1
baa8a66e8285ede25fc6e27638bc55b1,VP Quant (Model Validation / Cross Asset Classes / FI),LICO RESOURCES PTE. LTD.,15000,17000,19,SUPERVISOR,,4600.0,226.1
40876b7e919a995b5a598eef9d88783a,Geospatial Data Science Manager***,ETHOS SEARCH ASSOCIATES PTE. LTD.,15000,18000,19,SUPERVISOR,,4600.0,226.1
8495760b7dc2b2ed69f959f227af7b21,Enterprise Data Architect - Banking,MENRVA PTE. LTD.,15000,18000,19,SUPERVISOR,,4600.0,226.1
bf6162b638fc6c11f0e413d67c80a3c3,Solutions Architect (Enterprise AI),ACCESS PEOPLE (SINGAPORE) PTE. LTD.,15000,22000,19,SUPERVISOR,,4600.0,226.1
6fef39b1bdef5b7d087a304bf8bb2f52,Quantitative Researcher,ALC TECHNOLOGIES SG PTE. LTD.,15000,20000,19,SUPERVISOR,,4600.0,226.1
7cf5050265bd2a177f0fb8131e1a710a,Senior AI Developer,AECOM SINGAPORE PTE. LTD.,15000,20000,19,SUPERVISOR,,4600.0,226.1
de533985c34628940028b2f9dca836d5,Project Manager ( Operations & Sustainment) – Senior Consultant,VINOVA PTE. LTD.,11300,12000,12,Warehouse Assistant,,3500.0,222.9
2784ca213cdd8550e3d8b67c206f7f58,Senior Backend Engineer - AML Engine Orchestration,BYTEDANCE PTE. LTD.,11250,22500,12,Warehouse Assistant,,3500.0,221.4
40d354f02eb195dafc030f8ae2193d4e,"VP, EUI Desktop & VDI Engineer, Technology Group(16982)",GIC PRIVATE LIMITED,11250,22500,12,Warehouse Assistant,,3500.0,221.4
fc0220112f91df66639bf3470df72006,Financial Adviser (Insurance),SYNERGY FINANCIAL ADVISERS LTD.,11250,22500,15,Beautician,,3500.0,221.4
4958e17bb35423d1e8c341f9b70dcbbf,"Associate Director, Trust",EQUIOM TRUST SERVICES PTE. LTD.,16000,20000,2,Quantity Surveyor,,5000.0,220.0
86cfde78f7362243b738f2d2822ee123,"Senior Manager, People Science",GRABTAXI HOLDINGS PTE. LTD.,16000,24000,19,SUPERVISOR,Senior,5000.0,220.0
dbb79b423c0e4c474a22c3a420348a58,Finance Director - Business Partnering & Planning,RANDSTAD PTE. LIMITED,16000,21000,2,Quantity Surveyor,,5000.0,220.0
