cluster,cluster_label,seniority,n_jobs,pct_with_salary,n_with_salary,salary_max_p25,salary_max_median,salary_max_p75,salary_max_iqr,salary_max_cv,salary_viable
12,Warehouse,Manager,11,1.0,11,4300.0,5500.0,8250.0,3950.0,0.46,False
12,Warehouse,Unknown,1801,0.991,1785,2800.0,3500.0,4600.0,1800.0,0.473,True
13,Accounts,Intern,29,1.0,29,1600.0,2500.0,5000.0,3400.0,0.855,False
13,Accounts,Entry,863,0.995,859,3000.0,3800.0,5000.0,2000.0,0.62,False
13,Accounts,Junior,390,1.0,390,3700.0,4500.0,5500.0,1800.0,1.124,False
13,Accounts,Mid,283,0.989,280,4500.0,5500.0,7000.0,2500.0,0.586,False
13,Accounts,Senior,75,1.0,75,4500.0,5200.0,6500.0,2000.0,2.489,False
13,Accounts,Lead,1,1.0,1,,,,,,False
13,Accounts,Manager,7,1.0,7,5250.0,6400.0,10000.0,4750.0,0.494,False
13,Accounts,Director,1,1.0,1,,,,,,False
13,Accounts,Unknown,1613,0.993,1602,3500.0,4200.0,5500.0,2000.0,0.54,False
14,Admin,Intern,19,0.789,15,3000.0,3500.0,4350.0,1350.0,0.376,False
14,Admin,Entry,1527,0.988,1508,2760.0,3300.0,4200.0,1440.0,0.861,False
14,Admin,Junior,448,0.998,447,3600.0,4500.0,6000.0,2400.0,0.399,True
14,Admin,Mid,456,1.0,456,4000.0,5000.0,6500.0,2500.0,0.445,True
14,Admin,Senior,66,1.0,66,3592.0,4500.0,6475.0,2882.0,0.502,False
14,Admin,Lead,6,1.0,6,5150.0,8400.0,9700.0,4550.0,0.948,False
14,Admin,Manager,33,1.0,33,4200.0,4500.0,4500.0,300.0,0.293,True
14,Admin,Director,1,1.0,1,,,,,,False
14,Admin,Unknown,2293,0.989,2267,3000.0,4000.0,5000.0,2000.0,0.691,False
15,Beautician,Intern,11,0.909,10,2000.0,2650.0,3875.0,1875.0,0.539,False
15,Beautician,Entry,734,0.96,705,2500.0,3300.0,5000.0,2500.0,0.51,False
15,Beautician,Junior,90,1.0,90,3500.0,4350.0,5000.0,1500.0,0.395,True
15,Beautician,Mid,161,1.0,161,4000.0,5000.0,5400.0,1400.0,0.402,True
15,Beautician,Senior,34,1.0,34,4500.0,5250.0,8000.0,3500.0,0.529,False
15,Beautician,Lead,7,1.0,7,3850.0,5000.0,5600.0,1750.0,0.649,False
15,Beautician,Manager,74,1.0,74,4575.0,5500.0,8375.0,3800.0,0.527,False
15,Beautician,Unknown,922,0.979,903,2800.0,3500.0,5000.0,2200.0,0.487,True
16,Music,Intern,32,0.875,28,1575.0,3000.0,3475.0,1900.0,0.658,False
16,Music,Entry,840,0.971,816,2600.0,3500.0,4300.0,1700.0,0.465,True
16,Music,Junior,236,0.983,232,3500.0,4100.0,5000.0,1500.0,0.281,True
16,Music,Mid,225,0.973,219,4000.0,4800.0,7000.0,3000.0,0.499,True
16,Music,Senior,25,1.0,25,3200.0,5000.0,8500.0,5300.0,0.705,False
16,Music,Lead,7,1.0,7,5500.0,6500.0,10750.0,5250.0,0.441,False
16,Music,Manager,1,1.0,1,,,,,,False
16,Music,Unknown,1070,0.966,1034,3000.0,4000.0,4800.0,1800.0,0.687,False
17,Customer,Intern,9,1.0,9,2100.0,2200.0,2500.0,400.0,0.416,False
17,Customer,Entry,987,0.983,970,2700.0,3200.0,4000.0,1300.0,0.328,True
17,Customer,Junior,48,0.979,47,3250.0,3800.0,4500.0,1250.0,0.472,True
17,Customer,Mid,59,1.0,59,3550.0,3700.0,4000.0,450.0,0.361,True
17,Customer,Senior,25,1.0,25,3500.0,4500.0,8000.0,4500.0,0.413,True
17,Customer,Lead,6,1.0,6,3900.0,5100.0,10500.0,6600.0,0.651,False
17,Customer,Manager,22,1.0,22,5625.0,8000.0,9500.0,3875.0,0.318,True
17,Customer,Unknown,771,0.982,757,2800.0,3400.0,4000.0,1200.0,0.386,True
18,Data,Intern,76,1.0,76,1200.0,1600.0,3125.0,1925.0,1.264,False
18,Data,Entry,338,0.991,335,2950.0,4000.0,6000.0,3050.0,0.656,False
18,Data,Junior,116,1.0,116,4575.0,6500.0,8500.0,3925.0,0.519,False
18,Data,Mid,306,1.0,306,6000.0,8150.0,10425.0,4425.0,2.012,False
18,Data,Senior,238,0.996,237,7000.0,10000.0,12000.0,5000.0,0.499,True
18,Data,Lead,57,1.0,57,10900.0,12500.0,16500.0,5600.0,0.335,True
18,Data,Manager,25,1.0,25,7800.0,8000.0,10000.0,2200.0,0.553,False
18,Data,Director,12,1.0,12,19750.0,22500.0,30000.0,10250.0,0.97,False
18,Data,Unknown,1286,0.995,1279,4500.0,6500.0,9500.0,5000.0,0.605,False
19,SUPERVISOR,Intern,1,1.0,1,,,,,,False
19,SUPERVISOR,Entry,49,0.98,48,3500.0,4542.0,6000.0,2500.0,0.473,True
19,SUPERVISOR,Junior,90,1.0,90,3200.0,3800.0,4500.0,1300.0,0.395,True
19,SUPERVISOR,Mid,653,0.998,652,4000.0,4800.0,5500.0,1500.0,0.441,True
19,SUPERVISOR,Senior,102,0.98,100,4000.0,5000.0,8600.0,4600.0,0.486,True
19,SUPERVISOR,Lead,164,0.994,163,5000.0,6000.0,10000.0,5000.0,0.449,True
19,SUPERVISOR,Manager,422,0.998,421,5000.0,6000.0,9000.0,4000.0,0.455,True
19,SUPERVISOR,Director,13,1.0,13,10000.0,11000.0,15000.0,5000.0,0.349,False
19,SUPERVISOR,Unknown,1103,0.995,1098,3800.0,4600.0,6000.0,2200.0,0.492,True
20,Project,Entry,49,1.0,49,4500.0,5800.0,8000.0,3500.0,0.504,False
20,Project,Junior,44,0.977,43,4800.0,7000.0,9000.0,4200.0,0.343,True
20,Project,Mid,766,0.997,764,5000.0,6100.0,8000.0,3000.0,0.629,False
20,Project,Senior,460,0.993,457,7000.0,9500.0,12000.0,5000.0,0.414,True
20,Project,Lead,109,1.0,109,6500.0,9000.0,13000.0,6500.0,0.527,False
20,Project,Manager,672,0.996,669,5000.0,7000.0,10000.0,5000.0,0.49,True
20,Project,Director,141,1.0,141,12000.0,15000.0,20000.0,8000.0,0.469,True
20,Project,Unknown,1904,0.995,1894,5500.0,7800.0,11000.0,5500.0,1.126,False
21,Physiotherapist,Entry,189,0.979,185,3500.0,4500.0,5200.0,1700.0,0.472,True
21,Physiotherapist,Junior,179,1.0,179,4500.0,5000.0,6000.0,1500.0,0.398,True
21,Physiotherapist,Mid,307,0.99,304,4500.0,5045.0,6500.0,2000.0,0.674,False
21,Physiotherapist,Senior,303,1.0,303,5500.0,6700.0,8000.0,2500.0,0.578,False
21,Physiotherapist,Lead,46,1.0,46,6500.0,8000.0,8000.0,1500.0,0.459,True
21,Physiotherapist,Manager,68,1.0,68,5800.0,7500.0,9000.0,3200.0,0.282,True
21,Physiotherapist,Director,11,1.0,11,9600.0,10000.0,12000.0,2400.0,0.4,False
21,Physiotherapist,Unknown,996,0.99,986,4500.0,6000.0,7000.0,2500.0,0.59,False
22,Finance,Entry,16,1.0,16,5250.0,8250.0,10500.0,5250.0,0.526,False
22,Finance,Junior,22,0.955,21,5000.0,6000.0,8000.0,3000.0,0.439,True
22,Finance,Mid,262,0.989,259,5000.0,6500.0,9000.0,4000.0,0.859,False
22,Finance,Senior,328,0.994,326,5500.0,8500.0,12000.0,6500.0,0.524,False
22,Finance,Lead,62,0.903,56,10525.0,13500.0,20000.0,9475.0,0.783,False
22,Finance,Manager,211,0.991,209,7500.0,9000.0,12500.0,5000.0,0.422,True
22,Finance,Director,93,1.0,93,15000.0,18000.0,24000.0,9000.0,1.962,False
22,Finance,Unknown,849,0.993,843,6000.0,8000.0,12000.0,6000.0,3.123,False
